date,tempr,ap,ws,rh,blizzard
2016-01-01 00:00:00,1.16,980.83,8.27,67.6,0
2016-01-01 01:00:00,1.35,980.95,10.91,65.3,0
2016-01-01 02:00:00,1.53,981.07,8.59,64.7,0
2016-01-01 03:00:00,1.43,981.37,8.18,66.1,0
2016-01-01 04:00:00,1.24,981.66,9.19,73.86,0
2016-01-01 05:00:00,1.57,981.96,10.45,68.28,0
2016-01-01 06:00:00,1.48,982.45,8.72,69.09,0
2016-01-01 07:00:00,1.51,982.82,9.14,69.54,0
2016-01-01 08:00:00,1.55,983.05,8.44,68.19,0
2016-01-01 09:00:00,1.45,983.14,7.42,67.67,0
2016-01-01 10:00:00,1.66,983.2,4.92,65.2,0
2016-01-01 11:00:00,1.62,983.01,3.49,66.59,0
2016-01-01 12:00:00,1.38,982.73,4.12,67.76,0
2016-01-01 13:00:00,1.05,982.2,9.09,74.73,0
2016-01-01 14:00:00,0.98,981.5,11.49,75.96,0
2016-01-01 15:00:00,1.52,981.0,6.08,66.15,0
2016-01-01 16:00:00,1.58,980.42,6.25,50.37,0
2016-01-01 17:00:00,1.31,980.22,8.4,44.5,0
2016-01-01 18:00:00,0.34,980.15,10.3,50.74,0
2016-01-01 19:00:00,-0.02,980.01,12.67,50.97,0
2016-01-01 20:00:00,-0.77,979.64,19.94,51.77,0
2016-01-01 21:00:00,-1.17,979.55,15.18,54.21,0
2016-01-01 22:00:00,-1.23,979.32,14.31,51.53,0
2016-01-01 23:00:00,-1.63,979.01,15.1,51.84,0
2016-01-02 00:00:00,-0.67,978.7,14.75,50.99,0
2016-01-02 01:00:00,0.66,978.22,15.6,47.51,0
2016-01-02 02:00:00,1.75,977.8,12.35,46.34,0
2016-01-02 03:00:00,2.44,977.18,11.97,46.47,0
2016-01-02 04:00:00,2.62,976.88,11.52,50.6,0
2016-01-02 05:00:00,2.76,976.45,5.35,52.03,0
2016-01-02 06:00:00,3.28,975.92,4.53,46.35,0
2016-01-02 07:00:00,3.54,975.32,3.12,41.73,0
2016-01-02 08:00:00,2.78,974.65,5.32,49.71,0
2016-01-02 09:00:00,1.97,974.06,6.28,55.5,0
2016-01-02 10:00:00,2.44,973.5,5.9,55.8,0
2016-01-02 11:00:00,3.2,972.96,4.88,53.51,0
2016-01-02 12:00:00,3.24,972.42,5.3,57.66,0
2016-01-02 13:00:00,3.16,971.99,5.28,60.87,0
2016-01-02 14:00:00,2.8,971.39,5.6,61.37,0
2016-01-02 15:00:00,1.92,970.9,4.91,65.65,0
2016-01-02 16:00:00,1.6,970.64,4.23,58.88,0
2016-01-02 17:00:00,1.19,970.42,6.99,53.35,0
2016-01-02 18:00:00,0.24,970.27,6.87,55.42,0
2016-01-02 19:00:00,0.1,970.02,4.7,54.77,0
2016-01-02 20:00:00,0.07,969.5,4.6,51.7,0
2016-01-02 21:00:00,0.24,968.9,2.71,51.38,0
2016-01-02 22:00:00,1.53,968.43,3.03,46.42,0
2016-01-02 23:00:00,2.19,967.89,3.11,45.87,0
2016-01-03 00:00:00,1.9,967.37,7.77,46.25,0
2016-01-03 01:00:00,1.92,967.12,10.66,46.52,0
2016-01-03 02:00:00,1.43,966.72,14.99,47.24,0
